dataset,noise,detector,quality,seed,B,estimator,auc_global,auc_primary,delta_point,ci_low,ci_high,delta_ci_low,delta_ci_high,ci_entirely_above_chance,ci_entirely_below_chance,n_valid_bootstrap,n_failed_overlap,coverage_primary,coverage_bootstrap_mean,n_pairs_primary,n_pairs_bootstrap_mean,common_support_lo,common_support_hi,caliper_point,eligible_global_above_chance
cifar100,symmetric0.2,combined,dino_density,4,1000,pipeline_primary_matching_rule,0.6955370886759643,0.6826114702699703,0.012925618405994044,0.6750444948490693,0.710301933861361,-0.004942897196146558,0.01640687537653682,True,False,1000,0,0.8108077869769523,0.9896524999999999,36041,5925.571,0.06922867575408015,0.9948338958251178,0.015788185428851187,True
cifar100,symmetric0.2,ema_loss,dino_density,4,1000,pipeline_primary_matching_rule,0.8004665509249076,0.7951915873588413,0.005274963566066271,0.7905595757592522,0.819094767402631,-0.007022685471405349,0.011468448432119168,True,False,1000,0,0.8108077869769523,0.9898916666666666,36041,5927.373,0.06922867575408015,0.9948338958251178,0.015788185428851187,True
cifar100,symmetric0.2,confidence,dino_density,4,1000,pipeline_primary_matching_rule,0.732585039856832,0.7280042174190505,0.004580822437781462,0.7203296174222382,0.7538605965552025,-0.005634866765139014,0.014277824882179078,True,False,1000,0,0.8108077869769523,0.98973,36041,5925.963,0.06922867575408015,0.9948338958251178,0.015788185428851187,True
cifar100,symmetric0.2,aum,dino_density,4,1000,pipeline_primary_matching_rule,0.7124072832895794,0.7404899975028439,-0.02808271421326458,0.7256341616475048,0.76012462951967,-0.04482152768822347,-0.019133923084115653,True,False,1000,0,0.8108077869769523,0.9900883333333332,36041,5928.055,0.06922867575408015,0.9948338958251178,0.015788185428851187,True
cifar100,symmetric0.2,neighbor,dino_density,4,1000,pipeline_primary_matching_rule,0.8205679553099043,0.8164451596792541,0.004122795630650211,0.8034698801067613,0.8339545704837201,-0.002625537388706077,0.01012773866919594,True,False,1000,0,0.8108077869769523,0.9900991666666666,36041,5928.355,0.06922867575408015,0.9948338958251178,0.015788185428851187,True
cifar100,symmetric0.2,confident_learning,dino_density,4,1000,pipeline_primary_matching_rule,0.8096779561750015,0.8069975860825171,0.002680370092484341,0.7950744368341934,0.8258974236773787,-0.006761563293824439,0.01153165077459303,True,False,1000,0,0.8108077869769523,0.9898883333333334,36041,5927.081,0.06922867575408015,0.9948338958251178,0.015788185428851187,True
cifar100,symmetric0.2,combined,dino_density,3,1000,pipeline_primary_matching_rule,0.6979990091293473,0.6835592467085162,0.014439762420831115,0.6848699850970201,0.722472640766577,-0.005265615962047999,0.017456606450157924,True,False,1000,0,0.8051601423487544,0.992375,36002,5944.038,0.009209705373637569,0.9931418309251339,0.015720455517471296,True
cifar100,symmetric0.2,ema_loss,dino_density,3,1000,pipeline_primary_matching_rule,0.8077248279544047,0.8054691406032998,0.002255687351104929,0.7992671123231876,0.8284002570440698,-0.006398562568884899,0.012125129723385282,True,False,1000,0,0.8051601423487544,0.9924175000000001,36002,5944.205,0.009209705373637569,0.9931418309251339,0.015720455517471296,True
cifar100,symmetric0.2,confidence,dino_density,3,1000,pipeline_primary_matching_rule,0.7410225904474766,0.7378478973390368,0.0031746931084398744,0.7308593285480297,0.7650082543150453,-0.008358222421480339,0.011389303768631408,True,False,1000,0,0.8051601423487544,0.9923858333333333,36002,5944.093,0.009209705373637569,0.9931418309251339,0.015720455517471296,True
cifar100,symmetric0.2,aum,dino_density,3,1000,pipeline_primary_matching_rule,0.7098752947397613,0.7361396589078385,-0.026264364168077203,0.724747682519786,0.7582701941119627,-0.04965470623393048,-0.02237799555278138,True,False,1000,0,0.8051601423487544,0.9924358333333334,36002,5944.494,0.009209705373637569,0.9931418309251339,0.015720455517471296,True
